replication,metric,value
17,recall,0.27419354838709675
17,f_meas,0.1524663677130045
17,roc_auc,0.822964175180489
17,pr_auc,0.07670601566118734
18,accuracy,0.9564981459708781
18,precision,0.11688311688311688
18,recall,0.24193548387096775
18,f_meas,0.15761821366024517
18,roc_auc,0.8146897190216053
18,pr_auc,0.08768683072323911
19,accuracy,0.9477254228090802
19,precision,0.1141732283464567
19,recall,0.3118279569892473
19,f_meas,0.16714697406340057
19,roc_auc,0.8227945416581355
19,pr_auc,0.07874685031891933
20,accuracy,0.9474541014741793
20,precision,0.10420841683366733
20,recall,0.27956989247311825
20,f_meas,0.15182481751824817
20,roc_auc,0.8250116468497126
20,pr_auc,0.08502346966011207
21,accuracy,0.9471827801392783
21,precision,0.111328125
21,recall,0.3064516129032258
21,f_meas,0.16332378223495703
21,roc_auc,0.8258321191925246
21,pr_auc,0.09596184358169312
22,accuracy,0.9455548521298724
22,precision,0.10606060606060606
22,recall,0.3010752688172043
22,f_meas,0.1568627450980392
22,roc_auc,0.8198754108543693
22,pr_auc,0.08987516485980748
23,accuracy,0.9590304784299539
23,precision,0.12181303116147309
23,recall,0.23118279569892472
23,f_meas,0.1595547309833024
23,roc_auc,0.82265581803417
23,pr_auc,0.08550346237504894
24,accuracy,0.9465496970245093
24,precision,0.11428571428571428
24,recall,0.3225806451612903
24,f_meas,0.1687763713080169
24,roc_auc,0.8297067367752619
24,pr_auc,0.09170782303501934
25,accuracy,0.9470018992493443
25,precision,0.10474308300395258
25,recall,0.2849462365591398
25,f_meas,0.1531791907514451
25,roc_auc,0.8264191599827103
25,pr_auc,0.09955158092134332
26,accuracy,0.9565885864158452
26,precision,0.1111111111111111
26,recall,0.22580645161290322
26,f_meas,0.14893617021276595
26,roc_auc,0.8277477910550216
26,pr_auc,0.08778442010048383
27,accuracy,0.9441982454553677
27,precision,0.10603290676416818
27,recall,0.3118279569892473
27,f_meas,0.15825375170532058
27,roc_auc,0.8287900728286662
27,pr_auc,0.08742445579924481
28,accuracy,0.9531518495070995
28,precision,0.11032863849765258
28,recall,0.25268817204301075
28,f_meas,0.15359477124183007
28,roc_auc,0.8262918112013515
28,pr_auc,0.08660988944570548
29,accuracy,0.9524283259473637
29,precision,0.10829493087557604
29,recall,0.25268817204301075
29,f_meas,0.15161290322580645
29,roc_auc,0.81630840858039
29,pr_auc,0.09670825502798602
30,accuracy,0.9448313285701365
30,precision,0.10740740740740741
30,recall,0.3118279569892473
30,f_meas,0.1597796143250689
30,roc_auc,0.8220695190815458
30,pr_auc,0.09408433677261598
31,accuracy,0.9485393868137831
31,precision,0.11623246492985972
31,recall,0.3118279569892473
31,f_meas,0.16934306569343066
31,roc_auc,0.8302806717685308
31,pr_auc,0.09094937481185562
32,accuracy,0.9438364836754997
32,precision,0.10810810810810811
32,recall,0.3225806451612903
32,f_meas,0.16194331983805668
32,roc_auc,0.8148783930413659
32,pr_auc,0.08728854243550839
33,accuracy,0.9511621597178258
33,precision,0.10491071428571429
33,recall,0.25268817204301075
33,f_meas,0.14826498422712933
33,roc_auc,0.8197018208650222
33,pr_auc,0.09401847777414557
34,accuracy,0.9515239214976937
34,precision,0.11283185840707964
34,recall,0.27419354838709675
34,f_meas,0.1598746081504702
34,roc_auc,0.8320286883421711
34,pr_auc,0.0865198617697519
35,accuracy,0.9381387356425793
35,precision,0.0970873786407767
