seed,train_prop,model,strategy,over_ratio,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
2,0.8,xgboost,smote_03,0.03,0.03,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.9211359319887854,0.022377622377622378,0.08465608465608465,0.035398230088495575,0.5573327744380376,0.03846867096155745,715,699,173,16,10169,3
2,0.8,xgboost,smote_02,0.02,0.05,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.9621054535588315,0.036290322580645164,0.047619047619047616,0.04118993135011442,0.5569055700634647,0.022227308423103404,248,239,180,9,10629,4
2,0.8,xgboost,smote_30,0.3,0.08,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.9052184136745953,0.023307436182019976,0.1111111111111111,0.03853211009174312,0.5561745759114181,0.046403889168057356,901,880,168,21,9988,5
2,0.8,xgboost,smote_15,0.176,0.31,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.9318983449398571,0.02364864864864865,0.07407407407407407,0.035851472471190776,0.5554947002315423,0.022266508436221553,592,578,175,14,10290,6
2,0.8,xgboost,smote_20,0.25,0.08,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.8986162611920051,0.022540983606557378,0.1164021164021164,0.037768240343347644,0.5458929472087367,0.020085428417239565,976,954,167,22,9914,7
2,0.8,xgboost,smote_05,0.05,0.49,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.4750836574115945,0.017860209513996222,0.5502645502645502,0.034597471723220224,0.5044599649862808,0.017046198357792367,5823,5719,85,104,5149,8
2,0.8,xgboost,smote_08,0.087,0.31,150,3,0.05,0,20,44227,11057,0.016550975648359598,0.017093244098760965,0.9599348828796238,0.01893939393939394,0.026455026455026454,0.02207505518763797,0.4950415081994029,0.019638712377576126,264,259,184,5,10609,9
2,0.8,xgboost,none,NA,0.08,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.958306954870218,0.1,0.17989417989417988,0.1285444234404537,0.7875905770642613,0.06444418898972822,340,306,155,34,10562,1
2,0.8,xgboost,smote_30,0.3,0.16,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.923939585782762,0.02478134110787172,0.08994708994708994,0.03885714285714286,0.5569596095911885,0.01964424353013423,686,669,172,17,10199,2
2,0.8,xgboost,smote_02,0.02,0.05,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.9612914895541286,0.0421455938697318,0.0582010582010582,0.04888888888888889,0.5522489206699733,0.021729841572418144,261,250,178,11,10618,3
2,0.8,xgboost,smote_15,0.176,0.35000000000000003,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.8248168580989419,0.023446019629225736,0.2275132275132275,0.042511122095897184,0.5497957208483524,0.019915438645756973,1834,1791,146,43,9077,4
2,0.8,xgboost,smote_20,0.25,0.21000000000000002,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.9063941394591661,0.02364864864864865,0.1111111111111111,0.03899721448467967,0.538256821151558,0.02207787187194606,888,867,168,21,10001,5
2,0.8,xgboost,smote_03,0.03,0.060000000000000005,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.8883060504657683,0.017527675276752766,0.10052910052910052,0.029850746268656712,0.5171772671772672,0.01923193566964184,1084,1065,170,19,9803,6
2,0.8,xgboost,smote_08,0.087,0.14,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.6943112960115764,0.017538554581191412,0.30687830687830686,0.03318077803203662,0.4977454319559583,0.025317946395671496,3307,3249,131,58,7619,7
2,0.8,xgboost,smote_10,0.111,0.31,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.6084833137379035,0.019052044609665426,0.43386243386243384,0.03650122412641887,0.47924030160872266,0.021465857334744647,4304,4222,107,82,6646,8
2,0.8,xgboost,smote_05,0.05,0.01,200,3,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.017093244098760965,0.017093244098760965,1,0.0336119509158812,0.47662498320393054,0.01605841615335903,11057,10868,0,189,0,9
2,0.8,xgboost,none,NA,0.09,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.9656326309125441,0.1037344398340249,0.13227513227513227,0.11627906976744184,0.783814382498593,0.07721165975287245,241,216,164,25,10652,1
2,0.8,xgboost,smote_02,0.02,0.06999999999999999,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.9645473455729402,0.10196078431372549,0.13756613756613756,0.11711711711711711,0.5805656331972121,0.044213784610100886,255,229,163,26,10639,2
2,0.8,xgboost,smote_03,0.03,0.04,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.49932169666274756,0.02027633231652611,0.5978835978835979,0.03922249219021173,0.5628209509788458,0.08555204486280359,5573,5460,76,113,5408,3
2,0.8,xgboost,smote_08,0.087,0.34,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.25260016279280095,0.019631171921475312,0.873015873015873,0.03839888294158715,0.5464209279998754,0.12890797910634808,8405,8240,24,165,2628,4
2,0.8,xgboost,smote_10,0.111,0.01,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.017093244098760965,0.017093244098760965,1,0.0336119509158812,0.545231571547361,0.1713961976052381,11057,10868,0,189,0,5
2,0.8,xgboost,smote_05,0.05,0.38,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.9683458442615538,0.11483253588516747,0.12698412698412698,0.1206030150753769,0.5425286214759899,0.08363622837764771,209,185,165,24,10683,6
2,0.8,xgboost,smote_20,0.25,0.01,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.017093244098760965,0.017093244098760965,1,0.0336119509158812,0.5252610449978871,0.12399562039479325,11057,10868,0,189,0,7
2,0.8,xgboost,smote_30,0.3,0.01,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.017093244098760965,0.017093244098760965,1,0.0336119509158812,0.5063109405214667,0.05046830262335743,11057,10868,0,189,0,8
2,0.8,xgboost,smote_15,0.176,0.01,100,2,0.03,0.5,25,44227,11057,0.016550975648359598,0.017093244098760965,0.017093244098760965,0.017093244098760965,1,0.0336119509158812,0.5,0.5085466220493805,11057,10868,0,189,0,9
