config_id,model,strategy,over_ratio,scale_pos_weight,colsample_bytree,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,error,rank
61,xgboost,smote_weighted_30,0.3,1,1,0.01,100,4,0.01,0.5,50,0.7,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,NA,30
74,xgboost,smote_weighted_50,0.5,59.17278911564626,1,0.01,100,2,0.03,0.5,10,1,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,NA,31
78,xgboost,smote_weighted_50,0.5,50,1,0.01,100,2,0.03,0,10,1,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,NA,32
87,xgboost,smote_weighted_30,0.3,5,1,0.01,200,3,0.05,1,50,0.7,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,NA,33
95,xgboost,smote_weighted_50,0.5,50,1,0.01,200,2,0.01,0,25,1,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,NA,34
104,xgboost,smote_weighted_30,0.3,25,1,0.01,200,4,0.03,0.5,25,0.7,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,NA,35
43,xgboost,smote_weighted_50,0.5,25,1,0.01,100,4,0.05,0,10,0.7,0.98317807723614,NA,0,NA,0.5,0.50841096138193,0,0,186,0,10871,NA,36
86,xgboost,smote_weighted_50,0.5,50,1,0.01,100,2,0.05,0.5,25,0.7,0.98317807723614,NA,0,NA,0.5,0.50841096138193,0,0,186,0,10871,NA,37
9,xgboost,smote_weighted_30,0.3,59.17278911564626,0.8,NA,100,4,0.01,0,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",38
10,xgboost,smote_weighted_30,0.3,1,0.8,NA,100,3,0.01,0.5,50,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",39
11,xgboost,smote_weighted_50,0.5,1,0.8,NA,200,4,0.03,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",40
12,xgboost,smote_weighted_50,0.5,50,0.8,NA,100,2,0.05,0,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.8.
ℹ Please use a value >= 1 or use `counts = FALSE`.",41
13,xgboost,smote_weighted_50,0.5,5,0.6,NA,200,2,0.03,1,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",42
14,xgboost,smote_weighted_30,0.3,25,0.6,NA,100,2,0.05,0.5,50,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The option `counts = TRUE` was used but `colsample_bytree` was given as
0.6.
ℹ Please use a value >= 1 or use `counts = FALSE`.",43
