config_id,model,strategy,over_ratio,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
36,xgboost,smote_50,0.5,0.01,100,3,0.01,0.5,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5499941642111843,0.14639653936030222,11057,10871,0,186,0,52
55,xgboost,smote_30,0.3,0.5,400,4,0.01,0,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.7464049923125622,0.02606806661839247,0.3870967741935484,0.04884667571234736,0.5496469842324899,0.02371566494932941,2762,2690,114,72,8181,53
41,xgboost,smote_100,1,0.23,200,3,0.03,0,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9145337795061952,0.030902348578491966,0.13440860215053763,0.05025125628140704,0.5470826990622184,0.022724145002669463,809,784,161,25,10087,54
47,xgboost,smote_30,0.3,0.2,100,4,0.05,1,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.5468069827685972,0.049887593128483954,1707,1660,139,47,9211,55
30,xgboost,smote_75,0.75,0.01,400,2,0.01,0,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5447095607035786,0.03857439352190393,11057,10871,0,186,0,56
61,xgboost,smote_30,0.3,0.4,200,4,0.01,0.5,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.5413801937284064,0.07362145694769354,1707,1660,139,47,9211,57
71,xgboost,smote_40,0.4,0.01,100,4,0.03,0.5,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5401081895899419,0.042221278982774176,11057,10871,0,186,0,58
21,xgboost,smote_100,1,0.01,400,2,0.03,1,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8779053992945646,0.022167487684729065,0.14516129032258066,0.038461538461538464,0.537341382765432,0.023387955172157804,1218,1191,159,27,9680,59
34,xgboost,smote_40,0.4,0.38,400,3,0.01,0.5,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.8372976395043864,0.02753368482718219,0.25268817204301075,0.049656629688325404,0.5352533573095234,0.036483117027892746,1707,1660,139,47,9211,60
57,xgboost,smote_50,0.5,0.37,100,4,0.05,1,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8307859274667632,0.03011712214166202,0.2903225806451613,0.05457301667508843,0.5332046492443643,0.0210879509266449,1793,1739,132,54,9132,61
40,xgboost,smote_40,0.4,0.01,400,2,0.05,1,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.98317807723614,NA,0,NA,0.5240973567833132,0.0274637895568926,0,0,186,0,10871,62
22,xgboost,smote_75,0.75,0.01,400,3,0.05,0,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.98317807723614,NA,0,NA,0.5239885539409873,0.016799777300480774,0,0,186,0,10871,63
14,xgboost,smote_100,1,0.48000000000000004,100,3,0.03,0.5,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.874016460160984,0.0274079874706343,0.1881720430107527,0.04784688995215311,0.5177318959488746,0.04603218887789474,1277,1242,151,35,9629,64
25,xgboost,smote_50,0.5,0.37,100,2,0.05,1,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.671429863434928,0.018440905280804692,0.3548387096774194,0.035059760956175294,0.5152469873976635,0.016952674750063224,3579,3513,120,66,7358,65
44,xgboost,smote_40,0.4,0.01,400,2,0.05,0.5,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.98317807723614,NA,0,NA,0.5122358687362946,0.029542768104337747,0,0,186,0,10871,66
42,xgboost,smote_40,0.4,0.03,200,2,0.05,0.5,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.7533689065750203,0.024335454885810556,0.34946236559139787,0.04550227511375569,0.5113419544749126,0.026682302492832037,2671,2606,121,65,8265,67
49,xgboost,smote_100,1,0.01,200,3,0.05,0.5,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.8703084019173374,0.013260530421216849,0.0913978494623656,0.023160762942779294,0.5059186273433413,0.015893735828648687,1282,1265,169,17,9606,68
20,xgboost,smote_40,0.4,0.01,100,2,0.01,1,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,69
28,xgboost,smote_100,1,0.01,200,2,0.01,0.5,50,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,70
33,xgboost,smote_30,0.3,0.01,100,2,0.01,0.5,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,71
54,xgboost,smote_50,0.5,0.01,200,2,0.01,1,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0,72
